sim_id,target_quarter,rag_top_k,temperature,scenario_branch,mean_probability,std_probability,p_increase,stance_entropy_bits,all_agents_converged
0,2024Q1,3,0.32,reversal_not_confirmed,0.47250000000000003,0.14131082761062577,0.5,0.99999999711461,False
1,2020Q4,4,0.43,reversal_confirmed,0.505,0.19241881404893854,0.5,0.99999999711461,False
2,2024Q2,7,0.38,reversal_not_confirmed,0.6399999999999999,0.1236931687685298,0.75,0.8112781215737428,False
3,2019Q2,3,0.38,reversal_confirmed,0.6399999999999999,0.1236931687685298,0.75,0.8112781215737428,False
4,2023Q1,7,0.32,reversal_confirmed,0.47250000000000003,0.14131082761062577,0.5,0.99999999711461,False
5,2024Q3,7,0.68,reversal_not_confirmed,0.605,0.18848076824970766,0.5,0.99999999711461,False
6,2023Q3,5,1.03,reversal_confirmed,0.4675,0.06977642868476433,0.5,0.99999999711461,False
7,2020Q2,6,0.61,reversal_confirmed,0.69,0.12569805089976535,1.0,-1.4426951595367387e-09,True
8,2020Q3,5,0.39,reversal_not_confirmed,0.47,0.22135943621178655,0.25,0.8112781215737428,False
9,2019Q4,5,1.06,reversal_not_confirmed,0.6824999999999999,0.14771171246722448,0.75,0.8112781215737428,False
